Codigo,Articulo,Unidad_de_Medida,Real
4Q,MEZCLA 4 QUESOS,Kilogramo,15.09
5Q,MEZCLA 5 QUESOS,Kilogramo,14.65
5QGO,MEZCLA 5 QUESOS GOURMET,Kilogramo,8.08
ABRG,SALSA AMERICAN BURGER 220ML,Kilogramo,3.59
ACE,ACEITE DE OLIVA AJO (TP),Litro,2.98
ACOSP,ACEITE OLIVA SPRAY,Gramo,1060.13
AEG,ALITAS ENVASE GRANDE,Unidad,3018.00
AF15,"BOTELLA AGUA 1,5L FONTVELLA",Unidad,75.00
AF50,"BOTELLA AGUA 0,5L FONTVELLA",Unidad,68.00
AGLA,ZZ AZUCAR GLASS 250 GR,Kilogramo,0.39
AN,ACEITUNAS NEGRAS,Kilogramo,12.91
ANCA,PET AQUARADE NARANJA ZERO 1.50,Unidad,0.00
APRE,ME ALITAS DE POLLO PREFRITA,Kilogramo,16.27
ARCEB,AROS DE CEBOLLA,Kilogramo,0.46
AT,ATUN,Kilogramo,34.38
ATN,ALITAS DE POLLO NORMAL,Kilogramo,10.29
AZNE,AZUCAR 8 GR NESPRESSO,Unidad,0.00
BA,BACON FRANQUI,Kilogramo,32.79
BBQH,ME SALSA BBQ HONEY 32X45GR,Unidad,31.00
BCC,BARRIL CRUZCAMPO,Litro,30.00
BCHE,BORDE QUESO CLASICO 6KG,Kilogramo,6.10
BCHI,YY BORDE QUESO PICANTON 6KG,Kilogramo,1.45
BCK,BARRIL HEINEKEN,Litro,102.21
BCRY5,BACON CRISPY,Kilogramo,43.81
BDOS05,"BOTELLA DOSIFICADOR 0,5L",Unidad,2.00
BDOS1,BOTELLA DOSIFICADOR 1L,Unidad,16.00
BEBR,BERENJENA BRASEADA,Kilogramo,2.51
BF,BOLA FAMILIAR,Bola,410.00
BFM28,BASE FINA MEDIANA 280 MM,Unidad,10.00
BITA,BORDE QUESO MEDITERRANEO 6KG,Kilogramo,6.20
BKME,ZZ BOLA CACAO MEDIANA,Bola,19.00
BLOO,ME SALSA BLOODY ONION,Unidad,10.00
BLSCMP,BOLSA COMPLEMENTOS,Unidad,587.00
BM,BOLA MEDIANA,Bola,1692.00
BP,BOLA PEQUE?A,Bola,1888.50
BPAD,BOLSA PAPEL DOMICILIO,Unidad,1687.00
BPAT,ME BOLSA PATATAS MENEO,Unidad,242.00
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,Unidad,0.00
BQCH6,YY BORDE QUESO CHORIZO 6KG,Kilogramo,5.59
BSA,BOLA SUPER AHORRO,Bola,0.00
BTCO2,BOTELLA CO2 MEDIANA 10 KG,Kilogramo,1.00
C250,MP - CEBOLLA CORTADA 250 GR,Kilogramo,0.00
CA,CARNE,Kilogramo,23.19
CACHA,CAJA COMBO HAMBURGUESA,Unidad,61.00
CACOO,CAJA COOKIE 2025,Unidad,666.00
CAFF2,CAFE INTENSO,Unidad,340.00
CAFF3,CAFE CLASSICO 10 CPS,Unidad,200.00
CAJU,ME SAZONADOR CAJUN APIO,Kilogramo,0.99
CAKE,CAJA COMBO 2025,Unidad,99.00
CAMML,CAMISETA MUJER 19 T.L,Unidad,10.00
CAMMM,CAMISETA MUJER 19 T.M,Unidad,31.00
CASA,CAJA SANDWICH 2022,Unidad,54.00
CATP,CALCETINES,Unidad,50.00
CC1S,CAJA COMPLEMENTOS 1 SALSA,Unidad,223.00
CCARM,CEBOLLA CARAMELIZADA MORENO,Kilogramo,17.46
CCHME,ME CAJA COMBO HAMBURGUESA MENE,Unidad,65.00
CCPOPS,POPS POLLO,Kilogramo,8.39
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,Kilogramo,1.26
CEN,CEBOLLA CONGELADA,Kilogramo,6.52
CETQPZ,CELIACOS ETIQUETA PIZZAS,Unidad,405.00
CF,CAJA FAMILIAR,Unidad,709.00
CH,CHAMPI?ON,Kilogramo,27.73
CHB4,TARRINA CHOCOLATE BELGA 460 ML,Unidad,4.00
CHB9,TARRINA CHOCOLATE BELGA 95 ML,Unidad,80.00
CHMI,ME CAJA HEXAGONAL MINI,Unidad,109.00
CHMX,ME CAJA HEXAGONAL MAXI,Unidad,157.00
CHORI,CHORIZO,Kilogramo,3.42
CHUN,ME CHUNKS DE POLLO 6X1KG,Kilogramo,7.41
CM,CAJA MEDIANA SIN ESQUINAS,Unidad,649.00
CMI2,CAJA MENU INFANTIL 2020,Unidad,120.00
CMIC,CAJA PIZZA INFANTIL,Unidad,322.00
CNES,CAPSULAS NESPRESSO 50 UDS,Unidad,0.00
CNO,YY CERDO NUEVA ORLEANS,Kilogramo,1.00
COC4,TARRINA COOKIES&CREAM 460 ML,Unidad,8.00
COC9,TARRINA COOKIE&CREAM 95 ML,Unidad,21.00
COMCH,ME COPITA MULTICAPA CHOCOLATE,Unidad,4.00
CONTO,CONCENTRADO DE TOMATE,Kilogramo,81.12
CORNXL,ME CORTAVIENTOS NEGRO T XL,Unidad,1.00
COTCH,COOKIE TRIPLE CHOCOLATE,Unidad,135.00
CP,CAJA PEQUE?A,Unidad,167.00
CPBBQ,CELIACOS PIZZA BARBACOA,Unidad,17.00
CPBX,CAJA PEQUE?A TELEPIBOX,Unidad,35.00
CPCAR,CELIACOS PIZZA CARBONARA,Unidad,19.00
CPGR,CHEETOS PANDILLA B.GRANDE 75GR,Unidad,15.00
CPPQ,CHEETOS PANDILLA B.PEQ 31GR,Unidad,7.00
CPZ2,ZZ CAJA SWEET PIZZOLINOS,Unidad,18.00
CPZJB,CELIACOS PIZZA YORK BACON,Unidad,13.00
CR,NATA DE LUXTOR,Kilogramo,26.01
CRBC,ME CRUNCHY BACON 500GR,Kilogramo,1.66
CRCH,ME CRUNCHY SPICY CHICKEN 500GR,Kilogramo,1.45
CRCM,ME CRUNCHY MANGO 500GR,Kilogramo,0.62
CRIS,CRISTALINO,Kilogramo,0.48
CRJA,ME CRUNCHY JALAPE?O 500GR,Kilogramo,0.62
CRPZ,CORTADOR TOP 50,Unidad,50.00
DCHO,DANET CHOCO,Unidad,10.00
DGI2,ZZ DELANTAL Y GORRO INFANTIL 2,Unidad,676.00
DJL,YY DIORAMA JUSTICE LEAGUE,Unidad,264.00
DOGR,DORITOS TEX MEX (160GR),Unidad,8.00
DOPQ,DORITOS TEX MEX B.PEQ 44GR,Unidad,10.00
DPOU,DANONINO BEBEDINO FRESA,Unidad,15.00
ENVMN,ENVASE MINIS (TP),Unidad,100.00
EQ,TOPPING PARA MOZZARELLA,Kilogramo,218.15
ESAM,ME ETIQUETA SALSERA MENEO RAME,Unidad,1187.00
ETBI,ETIQUETA BLANCA 55X50 IMPRESOR,Unidad,18000.00
EU66,ENVASE EUROAHORRO 660 UDS,Unidad,1319.00
EWRAP,MP - ENVASE WRAP,Unidad,439.00
FANMI,FANTASMIKOS,Unidad,87.00
FINQ,CRUJIENTES (FINGERS) DE QUE,Kilogramo,0.00
GAMBC,YY GAMBA COCIDA,Kilogramo,2.02
GUINF,GUANTES INFANTIL 2020,Unidad,119.00
HAMPR,HAMBURGUESA POLLO REBOZADA 100,Kilogramo,13.00
HAMSV,HAMBURGUESA SMASH VACUNO,Kilogramo,14.28
HAR,SEMOLA DE ROBLE,Kilogramo,102.52
JA,JAMON FRANQUI,Kilogramo,28.06
JIBE,JAMON IBERICO,Kilogramo,2.61
KHD,SOBRES KETCHUP,Unidad,85.00
KIKAM,KIT KAT MIX,Kilogramo,8.76
LA33,LATA CERVEZA AMSTEL 33CC,Unidad,69.00
LAGR,LAYS SAL B.GRANDE 160GR,Unidad,0.00
LAPQ,LAYS SAL B.PEQ 44GR,Unidad,12.00
LASF,LATA CERVEZA EL AGUILA S FILTR,Unidad,69.00
LCAR,LATA CERVEZA AMSTEL RADLER,Unidad,19.00
LCB,LATA DE CERVEZA BUCKLER SIN AL,Unidad,54.00
LCC,LATA DE CERVEZA CRUZCAMPO,Unidad,98.00
LCCS,LATA CERVEZA CRUZCAMPO 0.0,Unidad,0.00
LCH,LATA DE CERVEZA HEINEKEN,Unidad,6.00
LDES,LATA DESPERADOS 50 CC,Unidad,34.00
LRBG,LATA RED BULL ICE GUMMY 250 ML,Unidad,36.00
LRBR,LATA RED BULL 250 ML (ENERGY D,Unidad,40.00
LRBW,LATA RED BULL WATERMELON 250 M,Unidad,26.00
MAC4,TARRINA MACADAMIA 460 ML,Unidad,8.00
MAC9,TARRINA MACADAMIA 95 ML,Unidad,77.00
MCO17,MANTELES COLEGIOS 2017,Unidad,200.00
MHD,SOBRES MOSTAZA,Unidad,1071.00
MIGAS,ZZ MIGAS,Kilogramo,0.00
MIKPZ,MIKOLAPIZ,Unidad,110.00
MOBIT,MOZZARELLA BITES,Kilogramo,7.26
MXFS,MIX FLORES SECAS 50GR,Gramo,67.00
NUGGET,NUGGETS,Kilogramo,8.79
ORE,OREGANO MOLIDO,Kilogramo,0.88
PAGM,ME PAPEL ANTIGRASA MENEO,Unidad,483.00
PAHCOM,PAPEL DE HORNO PARA COMPLEMENT,Unidad,9050.00
PANT,PAPEL ANTIGRASA,Unidad,1256.54
PANTRO,BACON ASADO TROCEADO 6X500GR,Kilogramo,1.18
PAXL,PAPEL ANTIGRASA XL,Unidad,1985.00
PBB3,PAN BURGER BRIOCHE 30 UDS,Unidad,100.00
PE,PEPPERONI,Kilogramo,9.56
PEGM,PEGATINAS MINIS (TP),Unidad,8000.00
PGL1,PEGATINA LUMINOSA TPZ 1,Unidad,89.00
PGL2,PEGATINA LUMINOSA TPZ 2,Unidad,181.00
PGTP,PATATAS GAJO (TP),Kilogramo,33.80
PI,PI?A,Kilogramo,22.47
PIKN,ME SALSA PICANTONA 32X45GR,Unidad,27.00
PKTAI,PASTA KATAIFI 500GR,Kilogramo,0.00
PMASD,PIMIENTO ASADO,Kilogramo,13.02
PNFCC,PAN FOCACCIA,Unidad,43.00
PS7U5,PET 7UP ZERO 500ML,Unidad,23.00
PSAL3,LATA AQUARADE LIMON ZERO,Unidad,44.00
PSAL5,PET AQUARADE LIMON ZERO 500ML,Unidad,38.00
PSAN5,PET AQUARADE NARANJA ZERO 500M,Unidad,41.00
PSAQN,LATA AQUARADE NARANJA ZERO,Unidad,124.00
PSKL5,PET KAS LIMON 500ML,Unidad,23.00
PSKLZ,LATA KAS LIMON,Unidad,13.00
PSKN1,PET KAS NARANJA 1L,Unidad,30.00
PSKN5,PET KAS NARANJA 500ML,Unidad,35.00
PSKNZ,LATA KAS NARANJA,Unidad,43.00
PSL7U,LATA 7UP ZERO,Unidad,31.00
PSLM5,PET LIPTON MANGO MARACUYA 500,Unidad,19.00
PSLT5,PET LIPTON ZERO 500ML,Unidad,3.00
PSLTZ,LATA LIPTON ZERO,Unidad,24.00
PSPR1,PET PEPSI REGULAR 1L,Unidad,66.00
PSPR3,LATA PEPSI REGULAR,Unidad,187.00
PSPR5,PET PEPSI REGULAR 500ML,Unidad,68.00
PSPZ1,PET PEPSI ZERO 1L,Unidad,66.00
PSPZ3,LATA PEPSI ZERO,Unidad,69.00
PSPZ5,PET PEPSI ZERO 500ML,Unidad,48.00
PUBE,YY PULLED BEEF,Kilogramo,0.00
PUPO,PULLED PORK REFRIGERADO 500GR,Kilogramo,4.90
PUZ1,PUZZLE TPZ1.,Unidad,150.00
PUZ2,PUZZLE TPZ2,Unidad,150.00
PVN,PIMIENTO VERDE CONGELADO,Kilogramo,17.35
PZLS,PEPSI ZERO LIMA 500 SAMPLING,Unidad,28.00
QCAB,QUESO CABRA,Kilogramo,14.23
QCHDNP,QUESO CHEDDAR NARANJA PICADO,Kilogramo,5.84
QCHLO,QUESO CHEDDAR LONCHAS,Kilogramo,2.06
QFCPJ,QUESO FUNDIDO IRL,Gramo,66.00
QPRO,QUESO PROVOLONE,Kilogramo,28.40
QRG,ZZ QUESO RALLADO GRATINAR,Kilogramo,0.00
QSBR,QUESO SBRINZ,Kilogramo,14.53
QTRU,QUESO TRUFADO 1 KG,Kilogramo,6.46
RINCHE,RING DE CHEDDAR,Kilogramo,10.58
RJGR,RUFFLES JAMON B.GRANDE 150GR,Unidad,0.00
RJPQ,RUFFLES JAMON B.PEQ 45GR,Unidad,9.00
RTB84,ROLLO TERMICO BLANCO,Unidad,160.00
SAC18,SOPORTE ARBOL CATALAN 18,Unidad,2.05
SAL6,ME SALSERA ECOP. 60 ML,Unidad,138.00
SBBQB,SALSA BARBACOA BOLSA,Kilogramo,113.04
SBREAP,SOBRES ACEITE PICANTE 300,Unidad,445.00
SC,TARRINA SALSA BARBACOA,Unidad,52.00
SCBU,SEPARADOR CAJA BURGER,Unidad,345.00
SCCE,ME SALSA CREMOSA CEBOLLINO,Unidad,37.00
SCCRE,STICK COOKIE &CREAM 80 ML,Unidad,25.00
SCHB,SALSA DE CHOCOLATE BOTELLA,Kilogramo,0.98
SEMA,SEMOLA MALTEADA 600 GR,Kilogramo,0.84
SERM,ME SERVILLETA KRAFT MENEO 30X4,Unidad,940.00
SHCL,SALCHICHA CLASSIC,Kilogramo,10.64
SIMPR,SERVILLETA IMPRESA 32X40 MAXIS,Unidad,18000.00
SLCM,YY SALSA CURRY MANGO,Kilogramo,1.05
SLIME,SLIME,Unidad,211.00
SMAK,STICK MACADAMIA 80 ML,Unidad,13.00
SMAY,ME SALSA MAYO,Unidad,39.00
SMAYO,SALSA MAYONESA TRUFA 875ML,Kilogramo,5.85
SMED,ME SALSA MEDITERRANEA,Unidad,30.00
SMIE,ME SALSA MIEL MOSTAZA 32X40GR,Unidad,109.00
SORP,REGALO SORPRESA,Unidad,0.00
SPCMB,SEPARADOR COMBO 2022,Unidad,181.00
SPES,SALSA PESTO,Kilogramo,6.87
SPIST,SALSA DE PISTACHO BOTELLA,Kilogramo,0.85
SQUE,ME SALSA QUESABROSA,Unidad,43.00
SSTEAK,SALSA STEAK & GRILL,Kilogramo,1.35
STBP,SEPARADOR TELEPIBOX PEQUE?A,Unidad,50.00
STC4,TARRINA STRAW CHEESECAKE 460ML,Unidad,11.00
STRI,ME STRIPS DE POLLO 6X1KG,Kilogramo,9.60
T125,"ME TARRO 1,25 L HEGAHOGAR",Unidad,7.00
TAP6,ME TAPA SALSERA ECOP. 60 ML,Unidad,187.00
TCHC,TARR. STRAWBERRY CHEESECAKE 95,Unidad,51.00
TCHM,TOMATE CHERRY MITAD,Kilogramo,8.86
TKSALSA,SALSA KEBAB,Gramo,1750.00
TMEM,TAPA METALICA ENVASE MINIS,Unidad,27.00
TMIMOS,TARRINA MIEL Y MOSTAZA,Unidad,78.00
TOMCNF,TOMATE CONFITADO CUBO,Kilogramo,5.20
TOME,"ME TORTILLA TRIGO 29,5 CM MENE",Unidad,12.00
TPADR,TAZAS PIZARRA,Unidad,67.00
TPOTI,TOPPING DE POLLO EN TIRAS,Kilogramo,27.36
TRINU,TRIPODE NUEVO,Unidad,26000.00
TSCREM,TARRINA CREMOSA AL AJO,Unidad,38.00
TSIR,TRIANGULO SIRATCHA,Kilogramo,9.59
TTCM,TARRINA TOMATE CONFITADO,Unidad,112.00
YOFP,YOGIKIDS POUCH FRESA-PLATANO,Unidad,0.00
YOFR,YOGIKIDS POUCH FRESA,Unidad,0.00
